epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.582,0.14101,39.5971,1.48845,0.73097,0.82292,0.72599,0.33943,0.11425,22.7207,1.34181,0.00332222,0.00332222,0.00332222
2,283.565,0.12297,19.521,1.34156,0.87762,0.8621,0.85564,0.37381,0.12231,17.2759,1.41004,0.00665537,0.00665537,0.00665537
3,421.746,0.12324,18.0942,1.34585,0.663,0.47208,0.526,0.23439,0.14126,39.5543,1.60755,0.0099878,0.0099878,0.0099878
4,557.621,0.12632,18.4712,1.37386,0.86258,0.82842,0.84867,0.42162,0.12019,16.6967,1.42543,0.00999756,0.00999756,0.00999756
5,690.149,0.12476,17.151,1.36393,0.83478,0.81641,0.8524,0.3865,0.13024,17.804,1.47138,0.00999566,0.00999566,0.00999566
6,822.791,0.12283,16.5605,1.34773,0.87551,0.84095,0.88769,0.45193,0.11614,17.4017,1.39783,0.00999322,0.00999322,0.00999322
7,957.493,0.12142,16.0667,1.34248,0.89608,0.88268,0.90535,0.45088,0.12394,15.1485,1.41995,0.00999023,0.00999023,0.00999023
8,1089.15,0.11902,15.5665,1.32645,0.8847,0.85025,0.90567,0.46922,0.11526,14.3886,1.3417,0.00998671,0.00998671,0.00998671
9,1223.28,0.11702,15.0852,1.30659,0.9161,0.85911,0.90732,0.46863,0.11169,15.5659,1.35736,0.00998264,0.00998264,0.00998264
10,1354.8,0.11556,14.7632,1.29359,0.88486,0.8582,0.90355,0.45281,0.11921,14.5732,1.36949,0.00997803,0.00997803,0.00997803
11,1490.49,0.11528,14.6973,1.30085,0.87075,0.8891,0.91739,0.47578,0.1105,13.5244,1.31637,0.00997288,0.00997288,0.00997288
12,1625.57,0.11347,14.2726,1.28212,0.88571,0.89168,0.92854,0.49706,0.11009,14.4635,1.32714,0.0099672,0.0099672,0.0099672
13,1759.99,0.11232,13.9869,1.26738,0.90304,0.91201,0.93045,0.50373,0.11247,12.5411,1.32801,0.00996097,0.00996097,0.00996097
14,1893.35,0.11159,13.8465,1.26548,0.88463,0.92767,0.93759,0.52164,0.10489,13.1198,1.28762,0.0099542,0.0099542,0.0099542
15,2026.45,0.11091,13.6934,1.25616,0.89197,0.90112,0.9042,0.44964,0.11476,12.5988,1.33719,0.0099469,0.0099469,0.0099469
16,2163.27,0.11,13.6387,1.25863,0.92159,0.90694,0.95275,0.54694,0.10388,11.8541,1.25688,0.00993906,0.00993906,0.00993906
17,2296.65,0.10932,13.4074,1.24871,0.94029,0.91929,0.94722,0.53567,0.10472,12.0762,1.26537,0.00993068,0.00993068,0.00993068
18,2429.89,0.10871,13.2342,1.24338,0.93022,0.90948,0.95685,0.55703,0.10112,11.3954,1.23987,0.00992177,0.00992177,0.00992177
19,2563.2,0.10923,13.1894,1.25303,0.92684,0.93241,0.95562,0.55849,0.10149,11.4874,1.24459,0.00991232,0.00991232,0.00991232
20,2696.43,0.10838,13.1468,1.24582,0.93526,0.92884,0.9633,0.54748,0.10247,11.217,1.24409,0.00990234,0.00990234,0.00990234
21,2827.79,0.10677,12.8993,1.2319,0.91422,0.90525,0.9395,0.54995,0.10058,11.6889,1.25527,0.00989183,0.00989183,0.00989183
22,2959.15,0.10715,12.8222,1.23085,0.93231,0.92301,0.95846,0.55767,0.1018,10.998,1.23088,0.00988079,0.00988079,0.00988079
23,3092.56,0.1073,12.884,1.22985,0.92149,0.92342,0.94875,0.55264,0.10556,11.5457,1.26351,0.00986922,0.00986922,0.00986922
24,3223.8,0.10653,12.6791,1.23039,0.93042,0.93232,0.96066,0.56126,0.10269,11.3425,1.24799,0.00985711,0.00985711,0.00985711
25,3357.15,0.10596,12.695,1.22723,0.93518,0.92762,0.95893,0.57092,0.0983,11.2534,1.22103,0.00984449,0.00984449,0.00984449
26,3488.17,0.10569,12.5848,1.22174,0.90868,0.93442,0.94687,0.4936,0.11187,11.8545,1.26162,0.00983133,0.00983133,0.00983133
27,3620.58,0.10556,12.5731,1.22661,0.94154,0.94022,0.95631,0.56494,0.09876,10.7769,1.226,0.00981765,0.00981765,0.00981765
28,3751.96,0.10489,12.4034,1.21408,0.91911,0.9324,0.9601,0.54639,0.10377,10.639,1.2437,0.00980345,0.00980345,0.00980345
29,3881.77,0.10478,12.4274,1.22004,0.90731,0.93581,0.95415,0.53849,0.10798,11.4258,1.26804,0.00978873,0.00978873,0.00978873
30,4012.55,0.10478,12.3273,1.22093,0.94792,0.93927,0.96846,0.58658,0.09644,10.3875,1.20881,0.00977349,0.00977349,0.00977349
31,4142.57,0.10479,12.494,1.2234,0.94012,0.94308,0.9646,0.59012,0.09572,10.7937,1.20078,0.00975773,0.00975773,0.00975773
